Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
9201433,-0.35,18.12,0.0,0.00,0.0,0.0,0.0
9265010,-0.41,19.53,0.0,0.00,0.0,0.0,0.0
9328587,-0.41,20.76,0.0,0.00,0.0,0.0,0.0
9392164,-0.47,21.99,0.0,0.00,0.0,0.0,0.0
9455741,-0.47,23.23,0.0,0.00,0.0,0.0,0.0
9519318,-0.53,24.46,0.0,0.00,0.0,0.0,0.0
9582895,-0.53,25.69,0.0,0.00,0.0,0.0,0.0
9646472,-0.59,26.92,0.0,0.00,0.0,0.0,0.0
9710049,-0.59,28.15,0.0,0.00,0.0,0.0,0.0
9773626,-0.65,29.38,0.0,0.00,0.0,0.0,0.0
9837203,-0.70,30.44,0.0,0.00,0.0,0.0,0.0
9900780,-0.70,31.67,0.0,0.00,0.0,0.0,0.0
9964357,-0.76,32.90,0.0,0.00,0.0,0.0,0.0
10027934,-0.76,33.96,0.0,0.00,0.0,0.0,0.0
10091511,-0.82,35.19,0.0,0.00,0.0,0.0,0.0
10155088,-0.88,36.25,0.0,0.00,0.0,0.0,0.0
10218665,-0.94,37.48,0.0,0.00,0.0,0.0,0.0
10282242,-0.94,38.53,0.0,0.00,0.0,0.0,0.0
10345819,-1.00,39.59,0.0,0.00,0.0,0.0,0.0
10409396,-1.06,40.82,0.0,0.00,0.0,0.0,0.0
10472973,-1.11,41.88,0.0,0.00,0.0,0.0,0.0
10536550,-1.17,42.93,0.0,0.00,0.0,0.0,0.0
10600127,-1.17,43.99,0.0,0.00,0.0,0.0,0.0
10663704,-1.23,45.04,0.0,0.00,0.0,0.0,0.0
10727281,-1.29,46.10,0.0,0.00,0.0,0.0,0.0
10790858,-1.35,47.16,0.0,0.00,0.0,0.0,0.0
10854435,-1.41,48.21,0.0,0.00,0.0,0.0,0.0
10918012,-1.41,49.27,0.0,0.00,0.0,0.0,0.0
10981589,-1.47,50.32,0.0,0.00,0.0,0.0,0.0
11045166,-1.52,51.20,0.0,0.00,0.0,0.0,0.0
11108743,-1.58,52.26,0.0,0.00,0.0,0.0,0.0
11172320,-1.64,53.31,0.0,0.00,0.0,0.0,0.0
11235897,-1.70,54.19,0.0,0.00,0.0,0.0,0.0
11299474,-1.76,55.25,0.0,0.00,0.0,0.0,0.0
11363051,-1.76,56.13,0.0,0.00,0.0,0.0,0.0
11426628,-1.82,57.18,0.0,0.00,0.0,0.0,0.0
11490205,-1.88,58.06,0.0,0.00,0.0,0.0,0.0
11553782,-1.94,59.12,0.0,0.00,0.0,0.0,0.0
11617359,-1.99,60.00,0.0,0.00,0.0,0.0,0.0
11680936,-2.05,60.88,0.0,0.00,0.0,0.0,0.0
11744513,-2.11,61.76,0.0,0.00,0.0,0.0,0.0
11808090,-2.17,62.64,0.0,0.00,0.0,0.0,0.0
11871667,-2.23,63.52,0.0,0.00,0.0,0.0,0.0
11935244,-2.29,64.40,0.0,0.00,0.0,0.0,0.0
11998821,-2.29,65.45,0.0,0.00,0.0,0.0,0.0
12062398,-2.35,66.16,0.0,0.00,0.0,0.0,0.0
12125975,-2.40,67.21,0.0,0.00,0.0,0.0,0.0
12189552,-2.46,67.92,0.0,0.00,0.0,0.0,0.0
12253129,-2.52,68.80,0.0,0.00,0.0,0.0,0.0
12316706,-2.58,69.68,0.0,0.00,0.0,0.0,0.0
12380283,-2.64,70.56,0.0,0.00,0.0,0.0,0.0
12443860,-2.70,71.26,0.0,0.00,0.0,0.0,0.0
