Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
123275620,-23.05,109.97,0.0,0.00,0.0,0.0,0.0
123361826,-22.99,109.97,0.0,0.00,0.0,0.0,0.0
123448032,-23.05,109.97,0.0,0.00,0.0,0.0,0.0
123534238,-23.05,110.15,0.0,0.00,0.0,0.0,0.0
123620444,-23.05,110.15,0.0,0.00,0.0,0.0,0.0
123706650,-22.99,110.32,0.0,0.00,0.0,0.0,0.0
123792856,-23.05,110.32,0.0,0.00,0.0,0.0,0.0
123879062,-23.05,110.50,0.0,0.00,0.0,0.0,0.0
123965268,-23.05,110.50,0.0,0.00,0.0,0.0,0.0
124051474,-23.05,110.67,0.0,0.00,0.0,0.0,0.0
124137680,-22.99,110.67,0.0,0.00,0.0,0.0,0.0
124223886,-23.05,110.67,0.0,0.00,0.0,0.0,0.0
124310092,-23.05,110.85,0.0,0.00,0.0,0.0,0.0
124396298,-23.05,110.85,0.0,0.00,0.0,0.0,0.0
124482504,-23.05,111.03,0.0,0.00,0.0,0.0,0.0
124568710,-23.05,111.03,0.0,0.00,0.0,0.0,0.0
124654916,-23.05,111.20,0.0,0.00,0.0,0.0,0.0
124741122,-23.05,111.20,0.0,0.00,0.0,0.0,0.0
124827328,-23.05,111.38,0.0,0.00,0.0,0.0,0.0
124913534,-23.05,111.38,0.0,0.00,0.0,0.0,0.0
124999740,-23.05,111.55,0.0,0.00,0.0,0.0,0.0
125085946,-23.05,111.55,0.0,0.00,0.0,0.0,0.0
125172152,-23.05,111.73,0.0,0.00,0.0,0.0,0.0
125258358,-23.05,111.73,0.0,0.00,0.0,0.0,0.0
125344564,-22.99,111.73,0.0,0.00,0.0,0.0,0.0
125430770,-23.05,111.91,0.0,0.00,0.0,0.0,0.0
125516976,-23.05,111.91,0.0,0.00,0.0,0.0,0.0
125603182,-23.05,112.08,0.0,0.00,0.0,0.0,0.0
125689388,-23.05,112.08,0.0,0.00,0.0,0.0,0.0
125775594,-23.05,112.26,0.0,0.00,0.0,0.0,0.0
125861800,-23.05,112.26,0.0,0.00,0.0,0.0,0.0
125948006,-23.05,112.43,0.0,0.00,0.0,0.0,0.0
126034212,-23.05,112.43,0.0,0.00,0.0,0.0,0.0
126120418,-23.05,112.61,0.0,0.00,0.0,0.0,0.0
