Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
10203475,-9.21,111.91,31.9,2.06,23.3,39.5,36.1
10245500,-9.33,111.91,32.2,2.04,23.1,39.6,35.7
10287525,-9.38,111.91,32.3,2.03,23.0,39.7,35.4
10329550,-9.50,111.91,32.6,2.01,22.8,39.8,35.0
10371575,-9.56,111.91,32.7,2.00,22.7,39.8,34.8
10413600,-9.68,112.08,32.9,1.98,22.5,39.9,34.3
10455625,-9.74,112.08,33.1,1.97,22.4,39.9,34.1
10497650,-9.85,112.26,33.3,1.95,22.1,39.9,33.6
10539675,-9.91,112.26,33.4,1.94,22.0,40.0,33.4
10581700,-10.03,112.26,33.7,1.92,21.8,40.1,32.9
10623725,-10.09,112.43,33.7,1.91,21.6,40.1,32.7
10665750,-10.21,112.43,34.0,1.89,21.4,40.2,32.3
10707775,-10.26,112.61,34.1,1.89,21.3,40.2,32.0
10749800,-10.38,112.79,34.3,1.87,21.0,40.2,31.6
10791825,-10.44,112.96,34.3,1.86,20.9,40.2,31.3
10833850,-10.56,112.96,34.6,1.84,20.7,40.3,30.9
10875875,-10.67,113.14,34.8,1.83,20.5,40.3,30.5
10917900,-10.73,113.31,34.8,1.82,20.3,40.3,30.2
10959925,-10.85,113.49,35.0,1.80,20.1,40.3,29.8
11001950,-10.91,113.67,35.1,1.80,19.9,40.3,29.6
11043975,-11.03,113.84,35.3,1.78,19.7,40.4,29.2
11086000,-11.09,114.02,35.3,1.77,19.5,40.4,28.9
11128025,-11.20,114.19,35.5,1.76,19.3,40.4,28.5
11170050,-11.26,114.55,35.5,1.75,19.1,40.3,28.3
11212075,-11.38,114.72,35.7,1.74,18.9,40.4,27.9
11254100,-11.44,115.07,35.7,1.73,18.7,40.3,27.6
11296125,-11.55,115.25,35.9,1.72,18.5,40.4,27.2
11338150,-11.61,115.43,36.0,1.71,18.3,40.4,27.0
11380175,-11.73,115.78,36.1,1.70,18.1,40.4,26.6
11422200,-11.79,115.95,36.2,1.69,17.9,40.3,26.4
11464225,-11.91,116.30,36.3,1.68,17.7,40.3,25.9
11506250,-11.96,116.66,36.3,1.67,17.5,40.3,25.7
11548275,-12.02,117.01,36.3,1.67,17.3,40.2,25.5
11590300,-12.14,117.36,36.4,1.66,17.0,40.2,25.1
11632325,-12.20,117.71,36.5,1.65,16.9,40.2,24.8
11674350,-12.26,118.06,36.5,1.64,16.7,40.1,24.6
11716375,-12.38,118.42,36.6,1.63,16.4,40.1,24.2
11758400,-12.43,118.77,36.6,1.63,16.3,40.1,24.0
11800425,-12.55,119.12,36.7,1.62,16.0,40.1,23.6
11842450,-12.61,119.47,36.8,1.61,15.9,40.0,23.3
11884475,-12.67,120.00,36.8,1.61,15.7,40.0,23.1
11926500,-12.73,120.35,36.8,1.60,15.5,39.9,22.8
11968525,-12.79,120.70,36.8,1.60,15.3,39.9,22.6
12010550,-12.90,121.23,36.9,1.59,15.1,39.8,22.2
12052575,-12.96,121.58,36.9,1.58,14.9,39.8,22.0
12094600,-13.02,122.11,36.9,1.58,14.7,39.7,21.7
12136625,-13.08,122.64,36.9,1.57,14.5,39.6,21.5
12178650,-13.14,122.99,36.9,1.57,14.3,39.6,21.2
12220675,-13.20,123.52,36.9,1.56,14.1,39.5,21.0
12262700,-13.26,124.05,36.9,1.56,14.0,39.5,20.7
12304725,-13.37,124.57,37.0,1.55,13.7,39.4,20.3
12346750,-13.37,125.10,36.9,1.55,13.6,39.3,20.2
12388775,-13.49,125.63,37.0,1.54,13.3,39.3,19.8
12430800,-13.49,126.16,36.9,1.54,13.2,39.2,19.7
12472825,-13.55,126.69,36.9,1.53,13.0,39.1,19.4
12514850,-13.61,127.21,36.9,1.53,12.8,39.1,19.2
12556875,-13.67,127.74,36.9,1.52,12.6,39.0,18.9
12598900,-13.72,128.27,36.9,1.52,12.5,38.9,18.7
12640925,-13.78,128.80,36.9,1.51,12.3,38.9,18.4
12682950,-13.78,129.50,36.8,1.51,12.1,38.7,18.2
12724975,-13.84,130.03,36.8,1.51,11.9,38.7,18.0
12767000,-13.90,130.56,36.8,1.51,11.8,38.6,17.7
12809025,-13.90,131.09,36.7,1.51,11.6,38.5,17.6
12851050,-13.96,131.79,36.7,1.50,11.4,38.4,17.3
12893075,-13.96,132.32,36.6,1.50,11.3,38.3,17.2
12935100,-14.02,132.84,36.6,1.50,11.1,38.3,16.9
12977125,-14.02,133.55,36.5,1.50,11.0,38.2,16.7
13019150,-14.08,134.08,36.6,1.49,10.8,38.1,16.5
13061175,-14.08,134.78,36.5,1.49,10.7,38.0,16.3
13103200,-14.08,135.31,36.4,1.49,10.5,37.9,16.1
13145225,-14.13,135.84,36.4,1.49,10.4,37.9,15.9
13187250,-14.13,136.36,36.3,1.49,10.2,37.8,15.7
