Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
14868530,-48.09,82.17,0.0,0.00,0.0,0.0,0.0
14975211,-47.68,82.87,0.0,0.00,0.0,0.0,0.0
15081892,-49.27,85.87,0.0,0.00,0.0,0.0,0.0
15188573,-48.56,89.38,0.0,0.00,0.0,0.0,0.0
15295254,-48.04,84.11,0.0,0.00,0.0,0.0,0.0
15401935,-49.33,82.35,0.0,0.00,0.0,0.0,0.0
15508616,-48.86,82.35,0.0,0.00,0.0,0.0,0.0
15615297,-48.04,82.70,0.0,0.00,0.0,0.0,0.0
15721978,-47.74,83.23,0.0,0.00,0.0,0.0,0.0
15828659,-48.09,83.05,0.0,0.00,0.0,0.0,0.0
15935340,-47.57,83.58,0.0,0.00,0.0,0.0,0.0
16042021,-46.92,83.58,0.0,0.00,0.0,0.0,0.0
16148702,-47.62,84.11,0.0,0.00,0.0,0.0,0.0
16255383,-47.74,83.40,0.0,0.00,0.0,0.0,0.0
16362064,-47.45,83.75,0.0,0.00,0.0,0.0,0.0
16468745,-46.57,84.28,0.0,0.00,0.0,0.0,0.0
16575426,-46.86,84.46,0.0,0.00,0.0,0.0,0.0
16682107,-47.68,83.93,0.0,0.00,0.0,0.0,0.0
16788788,-46.39,84.63,0.0,0.00,0.0,0.0,0.0
16895469,-48.27,83.58,0.0,0.00,0.0,0.0,0.0
17002150,-48.21,83.93,0.0,0.00,0.0,0.0,0.0
17108831,-48.09,83.58,0.0,0.00,0.0,0.0,0.0
17215512,-46.92,83.40,0.0,0.00,0.0,0.0,0.0
17322193,-47.51,83.75,0.0,0.00,0.0,0.0,0.0
17428874,-47.51,84.28,0.0,0.00,0.0,0.0,0.0
17535555,-47.57,84.46,0.0,0.00,0.0,0.0,0.0
17642236,-47.51,83.75,0.0,0.00,0.0,0.0,0.0
17748917,-47.21,84.11,0.0,0.00,0.0,0.0,0.0
17855598,-47.10,84.46,0.0,0.00,0.0,0.0,0.0
17962279,-47.04,84.46,0.0,0.00,0.0,0.0,0.0
18068960,-47.74,84.11,0.0,0.00,0.0,0.0,0.0
18175641,-46.33,84.81,0.0,0.00,0.0,0.0,0.0
18282322,-46.16,85.16,0.0,0.00,0.0,0.0,0.0
18389003,-46.10,85.51,0.0,0.00,0.0,0.0,0.0
