Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
144315041,-1.06,29.03,45.8,16.48,182.4,188.0,75.9
144507928,-1.06,27.27,51.4,16.48,193.2,200.0,75.1
144700815,-1.06,25.51,58.1,16.48,205.3,213.3,74.2
144893702,-1.06,23.75,66.1,16.48,218.7,228.4,73.2
145086589,-1.06,21.99,76.0,16.48,233.6,245.6,72.0
145279476,-1.11,20.23,91.9,15.61,247.2,263.7,69.6
145472363,-1.11,18.48,107.6,15.61,265.0,286.1,67.9
145665250,-1.11,16.54,129.6,15.61,286.9,314.8,65.7
145858137,-1.11,14.78,155.6,15.61,308.6,345.7,63.2
146051024,-1.11,13.02,189.5,15.61,331.8,382.1,60.3
146243911,-1.11,11.26,234.0,15.61,355.1,425.3,56.6
146436798,-1.11,9.50,292.9,15.61,375.9,476.5,52.1
146629685,-1.11,7.92,361.9,15.61,387.5,530.2,47.0
146822572,-1.11,6.16,459.1,15.61,382.8,597.7,39.8
147015459,-1.11,4.57,562.9,15.61,349.0,662.3,31.8
147208346,-1.11,3.17,658.5,15.61,282.8,716.6,23.2
147401233,-1.11,2.29,711.7,15.61,220.8,745.2,17.2
147594120,-1.11,1.58,745.9,15.61,160.2,763.0,12.1
147787007,-1.11,1.41,752.9,15.61,143.8,766.5,10.8
147979894,-1.11,1.23,759.2,15.61,126.9,769.8,9.5
148172781,-1.11,1.23,759.2,15.61,126.9,769.8,9.5
148365668,-1.11,1.58,745.9,15.61,160.2,763.0,12.1
148558555,-1.11,1.94,730.0,15.61,191.6,754.7,14.7
148751442,-1.11,2.82,680.8,15.61,259.9,728.7,20.9
148944329,-1.11,4.05,599.2,15.61,328.7,683.5,28.7
149137216,-1.11,5.63,492.3,15.61,375.5,619.1,37.3
149330103,-1.06,7.21,397.9,16.48,410.1,571.4,45.9
149522990,-1.06,8.97,310.3,16.48,397.2,504.0,52.0
149715877,-1.06,10.73,244.8,16.48,374.1,447.1,56.8
149908764,-1.06,12.49,196.1,16.48,348.1,399.5,60.6
150101651,-1.06,14.43,156.5,16.48,320.0,356.2,63.9
150294538,-1.00,16.19,124.4,17.44,301.4,326.1,67.6
150487425,-1.00,18.12,102.3,17.44,276.7,295.0,69.7
150680312,-1.00,20.06,85.5,17.44,255.0,269.0,71.5
150873199,-1.00,21.82,73.5,17.44,237.6,248.7,72.8
151066086,-0.94,23.75,59.8,18.53,222.4,230.3,75.0
151258973,-0.94,25.51,52.4,18.53,208.4,214.8,75.9
151451860,-0.94,27.45,45.7,18.53,194.6,199.9,76.8
151644747,-0.88,29.38,37.9,19.76,183.4,187.3,78.3
151837634,-0.88,31.14,34.0,19.76,173.2,176.6,78.9
