Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
64654381,-1.29,171.91,3.7,13.49,3.5,5.1,43.4
64848238,-1.29,172.61,3.7,13.49,3.2,4.9,40.8
65042095,-1.29,173.31,3.7,13.49,2.9,4.7,38.0
65235952,-1.29,174.02,3.7,13.49,2.6,4.5,35.0
65429809,-1.35,174.72,3.9,12.90,2.3,4.5,30.5
65623666,-1.35,175.43,3.9,12.90,2.0,4.4,27.1
65817523,-1.35,176.30,3.9,12.90,1.6,4.2,22.5
66011380,-1.35,177.01,3.9,12.90,1.3,4.1,18.5
66205237,-1.35,177.71,3.9,12.90,1.0,4.0,14.4
66399094,-1.41,178.42,4.0,12.37,0.7,4.1,9.6
66592951,-1.41,179.12,4.0,12.37,0.4,4.1,5.4
66786808,-1.41,179.82,4.0,12.37,0.1,4.0,1.1
66980665,-1.41,180.00,4.0,12.37,0.0,4.0,0.0
67174522,-1.47,180.00,4.2,11.88,0.0,4.2,0.0
67368379,-1.47,180.00,4.2,11.88,0.0,4.2,0.0
67562236,-1.47,180.00,4.2,11.88,0.0,4.2,0.0
67756093,-1.47,180.00,4.2,11.88,0.0,4.2,0.0
67949950,-1.52,180.00,4.4,11.42,0.0,4.4,0.0
68143807,-1.52,180.00,4.4,11.42,0.0,4.4,0.0
68337664,-1.58,180.00,4.5,11.00,0.0,4.5,0.0
68531521,-1.58,180.00,4.5,11.00,0.0,4.5,0.0
68725378,-1.64,179.12,4.7,10.61,0.4,4.7,4.6
68919235,-1.76,178.24,5.0,9.91,0.8,5.1,8.6
69113092,-1.82,177.18,5.2,9.59,1.2,5.4,13.1
69306949,-1.88,176.13,5.4,9.29,1.7,5.6,17.2
69500806,-1.94,175.25,5.6,9.01,2.0,5.9,20.2
69694663,-1.99,174.37,5.7,8.75,2.4,6.2,23.0
69888520,-2.05,173.31,5.9,8.50,2.9,6.6,26.0
70082377,-2.17,172.43,6.2,8.05,3.3,7.0,27.5
70276234,-2.23,171.55,6.4,7.84,3.6,7.4,29.5
70470091,-2.29,170.67,6.6,7.64,4.0,7.7,31.3
70663948,-2.40,169.79,6.9,7.27,4.4,8.2,32.3
70857805,-2.46,168.91,7.1,7.10,4.8,8.6,33.8
71051662,-2.52,168.04,7.3,6.94,5.1,8.9,35.1
71245519,-2.64,167.16,7.6,6.63,5.5,9.4,35.8
71439376,-2.76,166.28,8.0,6.35,5.9,9.9,36.3
71633233,-2.82,165.40,8.2,6.22,6.2,10.3,37.4
71827090,-2.87,164.52,8.3,6.10,6.6,10.6,38.4
72020947,-2.99,163.64,8.7,5.86,7.0,11.1,38.7
72214804,-3.11,162.76,9.0,5.65,7.3,11.7,39.0
72408661,-3.23,161.88,9.4,5.45,7.7,12.2,39.3
72602518,-3.40,161.00,9.9,5.17,8.0,12.8,39.0
72796375,-3.52,160.29,10.3,5.00,8.3,13.2,39.0
72990232,-3.64,159.41,10.6,4.85,8.7,13.7,39.2
73184089,-3.75,158.71,11.0,4.70,9.0,14.2,39.2
73377946,-3.93,158.01,11.5,4.50,9.2,14.8,38.7
73571803,-4.05,157.30,11.9,4.37,9.5,15.2,38.6
73765660,-4.22,156.77,12.4,4.19,9.7,15.7,38.0
73959517,-4.34,156.07,12.8,4.09,9.9,16.2,37.9
74153374,-4.52,155.54,13.3,3.93,10.1,16.7,37.3
74347231,-4.69,155.01,13.8,3.79,10.3,17.2,36.7
74541088,-4.87,154.66,14.3,3.66,10.4,17.7,35.9
74734945,-5.04,154.49,14.8,3.54,10.4,18.1,35.1
74928802,-5.22,154.49,15.3,3.43,10.3,18.4,34.0
75122659,-5.40,154.66,15.7,3.32,10.2,18.7,32.9
75316516,-5.57,154.84,16.2,3.22,10.0,19.1,31.8
75510373,-5.75,155.19,16.7,3.13,9.8,19.3,30.5
75704230,-5.87,155.72,16.9,3.07,9.6,19.5,29.5
75898087,-5.92,156.42,17.1,3.05,9.3,19.4,28.5
76091944,-5.98,157.13,17.2,3.02,9.0,19.4,27.6
76285801,-6.04,157.65,17.3,2.99,8.7,19.4,26.8
76479658,-5.98,158.36,17.1,3.02,8.5,19.1,26.4
76673515,-5.98,158.89,17.1,3.02,8.3,19.0,25.8
76867372,-5.92,159.24,16.9,3.05,8.1,18.8,25.7
77061229,-5.92,159.41,16.9,3.05,8.1,18.7,25.5
77255086,-5.87,159.24,16.8,3.07,8.2,18.6,26.0
77448943,-5.81,159.06,16.6,3.10,8.2,18.5,26.4
77642800,-5.75,158.71,16.5,3.13,8.4,18.5,27.0
77836657,-5.75,158.36,16.5,3.13,8.6,18.6,27.4
78030514,-5.75,157.83,16.5,3.13,8.8,18.7,28.0
78224371,-5.69,157.30,16.4,3.16,9.0,18.7,28.8
78418228,-5.69,156.77,16.4,3.16,9.2,18.8,29.3
78612085,-5.75,156.25,16.6,3.13,9.4,19.1,29.5
78805942,-5.69,155.72,16.5,3.16,9.6,19.1,30.3
78999799,-5.69,155.01,16.5,3.16,9.9,19.3,31.0
79193656,-5.69,154.31,16.5,3.16,10.2,19.4,31.7
79387513,-5.75,153.61,16.7,3.13,10.5,19.8,32.0
79581370,-5.75,152.73,16.8,3.13,10.8,20.0,32.8
79775227,-5.81,151.67,17.0,3.10,11.2,20.4,33.4
79969084,-5.81,150.62,17.1,3.10,11.7,20.7,34.3
