Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
14910275,-24.16,62.46,52.6,1.13,5.8,52.9,6.3
14952300,-23.93,64.75,52.4,1.14,6.1,52.8,6.6
14994325,-23.81,66.69,52.2,1.14,6.2,52.6,6.8
15036350,-23.58,68.80,52.0,1.14,6.5,52.4,7.1
15078375,-23.40,70.73,51.8,1.14,6.6,52.3,7.3
15120400,-23.23,72.49,51.7,1.15,6.8,52.1,7.5
15162425,-23.05,74.25,51.5,1.15,7.0,51.9,7.8
15204450,-22.93,76.01,51.3,1.15,7.1,51.7,7.9
15246475,-22.70,77.60,51.1,1.16,7.4,51.6,8.2
15288500,-22.52,79.18,50.9,1.16,7.5,51.4,8.4
15330525,-22.35,80.76,50.7,1.17,7.7,51.2,8.6
15372550,-22.17,82.17,50.5,1.17,7.8,51.1,8.8
15414575,-21.94,83.58,50.3,1.17,8.0,50.9,9.1
15456600,-21.76,84.81,50.1,1.18,8.2,50.7,9.3
15498625,-21.58,86.22,49.9,1.18,8.3,50.5,9.5
15540650,-21.41,87.45,49.7,1.19,8.5,50.4,9.7
15582675,-21.29,88.68,49.5,1.19,8.6,50.2,9.9
15624700,-21.11,89.74,49.3,1.19,8.7,50.0,10.1
15666725,-20.94,90.97,49.1,1.20,8.9,49.8,10.3
15708750,-20.76,92.02,48.9,1.20,9.0,49.7,10.5
15750775,-20.59,93.08,48.6,1.21,9.2,49.5,10.7
15792800,-20.47,94.13,48.5,1.21,9.2,49.3,10.8
15834825,-20.29,95.01,48.3,1.21,9.4,49.2,11.0
15876850,-20.12,96.07,48.0,1.22,9.5,49.0,11.2
15918875,-20.00,96.95,47.9,1.22,9.6,48.8,11.3
15960900,-19.82,97.83,47.7,1.23,9.7,48.6,11.5
16002925,-19.71,98.71,47.5,1.23,9.8,48.5,11.7
16044950,-19.53,99.59,47.3,1.24,9.9,48.3,11.9
16086975,-19.41,100.47,47.1,1.24,10.0,48.1,12.0
16129000,-19.24,101.17,46.9,1.25,10.2,48.0,12.2
16171025,-19.12,101.88,46.7,1.25,10.2,47.8,12.4
16213050,-19.00,102.58,46.5,1.25,10.3,47.6,12.5
16255075,-18.83,103.46,46.3,1.26,10.4,47.4,12.7
16297100,-18.71,104.16,46.1,1.26,10.5,47.3,12.8
16339125,-18.59,104.87,45.9,1.27,10.6,47.1,13.0
16381150,-18.48,105.40,45.7,1.27,10.7,47.0,13.1
16423175,-18.36,106.10,45.6,1.27,10.7,46.8,13.3
16465200,-18.24,106.80,45.4,1.28,10.8,46.6,13.4
16507225,-18.12,107.33,45.2,1.28,10.9,46.5,13.5
16549250,-18.01,108.04,45.0,1.29,10.9,46.3,13.7
16591275,-17.89,108.56,44.8,1.29,11.0,46.2,13.8
16633300,-17.77,109.09,44.6,1.30,11.1,46.0,14.0
16675325,-17.65,109.79,44.4,1.30,11.1,45.8,14.1
16717350,-17.54,110.32,44.3,1.31,11.2,45.7,14.2
16759375,-17.42,110.85,44.1,1.31,11.3,45.5,14.4
16801400,-17.36,111.38,43.9,1.31,11.3,45.4,14.4
16843425,-17.24,111.91,43.7,1.32,11.4,45.2,14.6
16885450,-17.13,112.43,43.6,1.32,11.4,45.0,14.7
16927475,-17.01,112.96,43.4,1.33,11.5,44.9,14.8
16969500,-16.95,113.49,43.2,1.33,11.5,44.7,14.9
