Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
27425519,-0.06,1.76,683.0,296.19,3105.9,3180.1,77.6
27618406,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
27811293,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
28004180,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
28197067,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
28389954,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
28582841,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
28775728,-0.00,1.41,0.0,?,4070.2,4070.2,90.0
28968615,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
29161502,-0.00,1.41,0.0,?,4070.2,4070.2,90.0
29354389,-0.12,1.41,1718.4,148.10,3125.6,3566.9,61.2
29547276,-0.00,1.41,0.0,?,4070.2,4070.2,90.0
29740163,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
29933050,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
30125937,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
30318824,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
30511711,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
30704598,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
30897485,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
31090372,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
31283259,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
31476146,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
31669033,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
31861920,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
32054807,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
32247694,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
32440581,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
32633468,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
32826355,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33019242,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33212129,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33405016,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33597903,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33790790,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
33983677,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
34176564,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
34369451,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
34562338,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
34755225,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
34948112,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
35140999,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
35333886,-0.06,1.23,1330.1,296.19,4233.9,4437.9,72.6
35526773,-0.12,1.41,1718.4,148.10,3125.6,3566.9,61.2
35719660,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
35912547,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
36105434,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
36298321,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
