Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
4320689,0.70,155.37,2.1,24.70,10.9,11.1,79.0
4352908,0.70,155.19,2.1,24.70,11.0,11.2,79.1
4385127,0.70,155.01,2.1,24.70,11.1,11.3,79.1
4417346,0.70,154.84,2.1,24.70,11.1,11.3,79.2
4449565,0.70,154.66,2.1,24.70,11.2,11.4,79.3
4481784,0.65,154.31,2.0,26.94,11.4,11.6,80.3
4514003,0.65,154.13,2.0,26.94,11.5,11.6,80.3
4546222,0.65,153.96,2.0,26.94,11.5,11.7,80.4
4578441,0.65,153.78,2.0,26.94,11.6,11.8,80.4
4610660,0.65,153.61,2.0,26.94,11.7,11.9,80.5
4642879,0.65,153.43,2.0,26.94,11.8,11.9,80.6
4675098,0.65,153.26,2.0,26.94,11.9,12.0,80.6
4707317,0.65,152.90,2.0,26.94,12.0,12.2,80.7
4739536,0.65,152.73,2.0,26.94,12.1,12.3,80.8
4771755,0.65,152.55,2.0,26.94,12.2,12.4,80.8
4803974,0.65,152.38,2.0,26.94,12.3,12.4,80.9
4836193,0.65,152.20,2.0,26.94,12.4,12.5,80.9
4868412,0.65,152.02,2.0,26.94,12.4,12.6,81.0
4900631,0.65,151.85,2.0,26.94,12.5,12.7,81.0
4932850,0.65,151.67,2.0,26.94,12.6,12.8,81.1
4965069,0.65,151.50,2.0,26.94,12.7,12.8,81.1
4997288,0.65,151.32,2.0,26.94,12.8,12.9,81.2
5029507,0.65,150.97,2.0,26.94,12.9,13.1,81.3
5061726,0.65,150.79,2.0,26.94,13.0,13.2,81.3
5093945,0.65,150.62,2.0,26.94,13.1,13.2,81.4
5126164,0.65,150.44,2.0,26.94,13.2,13.3,81.4
5158383,0.65,150.26,2.0,26.94,13.3,13.4,81.5
5190602,0.65,150.09,2.0,26.94,13.3,13.5,81.5
5222821,0.65,149.91,2.0,26.94,13.4,13.6,81.6
5255040,0.65,149.74,2.0,26.94,13.5,13.6,81.6
5287259,0.65,149.56,2.0,26.94,13.6,13.7,81.7
5319478,0.65,149.21,2.0,26.94,13.7,13.9,81.7
5351697,0.65,149.03,2.0,26.94,13.8,14.0,81.8
5383916,0.65,148.86,2.0,26.94,13.9,14.1,81.8
5416135,0.59,148.68,1.8,29.63,14.0,14.1,82.6
5448354,0.59,148.50,1.8,29.63,14.1,14.2,82.6
5480573,0.59,148.33,1.8,29.63,14.2,14.3,82.7
5512792,0.59,148.15,1.8,29.63,14.2,14.4,82.7
5545011,0.59,147.98,1.8,29.63,14.3,14.4,82.7
5577230,0.59,147.80,1.8,29.63,14.4,14.5,82.8
5609449,0.59,147.62,1.8,29.63,14.5,14.6,82.8
5641668,0.59,147.27,1.8,29.63,14.7,14.8,82.9
5673887,0.59,147.10,1.8,29.63,14.7,14.9,82.9
5706106,0.59,146.92,1.8,29.63,14.8,14.9,82.9
5738325,0.59,146.74,1.8,29.63,14.9,15.0,83.0
5770544,0.59,146.57,1.8,29.63,15.0,15.1,83.0
5802763,0.59,146.39,1.8,29.63,15.1,15.2,83.0
5834982,0.59,146.22,1.8,29.63,15.2,15.3,83.1
5867201,0.59,146.04,1.8,29.63,15.2,15.4,83.1
5899420,0.59,145.87,1.8,29.63,15.3,15.4,83.1
5931639,0.59,145.51,1.8,29.63,15.5,15.6,83.2
5963858,0.59,145.51,1.8,29.63,15.5,15.6,83.2
5996077,0.59,145.16,1.9,29.63,15.7,15.8,83.3
6028296,0.59,144.99,1.9,29.63,15.8,15.9,83.3
6060515,0.59,144.81,1.9,29.63,15.8,15.9,83.3
6092734,0.59,144.63,1.9,29.63,15.9,16.0,83.3
6124953,0.59,144.46,1.9,29.63,16.0,16.1,83.4
6157172,0.59,144.28,1.9,29.63,16.1,16.2,83.4
6189391,0.59,144.11,1.9,29.63,16.2,16.3,83.4
6221610,0.59,143.93,1.9,29.63,16.3,16.4,83.5
6253829,0.59,143.75,1.9,29.63,16.3,16.5,83.5
6286048,0.59,143.58,1.9,29.63,16.4,16.5,83.5
6318267,0.59,143.40,1.9,29.63,16.5,16.6,83.5
6350486,0.59,143.23,1.9,29.63,16.6,16.7,83.6
6382705,0.59,143.05,1.9,29.63,16.7,16.8,83.6
6414924,0.59,142.87,1.9,29.63,16.8,16.9,83.6
6447143,0.53,142.52,1.7,32.92,16.9,17.0,84.3
6479362,0.53,142.35,1.7,32.92,17.0,17.1,84.3
6511581,0.53,142.17,1.7,32.92,17.1,17.2,84.3
6543800,0.53,141.99,1.7,32.92,17.2,17.3,84.4
6576019,0.53,141.82,1.7,32.92,17.3,17.4,84.4
6608238,0.53,141.64,1.7,32.92,17.4,17.5,84.4
6640457,0.53,141.47,1.7,32.92,17.5,17.5,84.4
6672676,0.53,141.29,1.7,32.92,17.5,17.6,84.4
6704895,0.53,141.11,1.7,32.92,17.6,17.7,84.5
6737114,0.53,140.94,1.7,32.92,17.7,17.8,84.5
6769333,0.53,140.76,1.7,32.92,17.8,17.9,84.5
6801552,0.53,140.59,1.7,32.92,17.9,18.0,84.5
6833771,0.53,140.41,1.7,32.92,18.0,18.1,84.5
6865990,0.53,140.23,1.7,32.92,18.1,18.1,84.6
6898209,0.53,140.06,1.7,32.92,18.2,18.2,84.6
6930428,0.53,139.88,1.7,32.92,18.2,18.3,84.6
6962647,0.53,139.71,1.7,32.92,18.3,18.4,84.6
6994866,0.53,139.53,1.7,32.92,18.4,18.5,84.6
7027085,0.53,139.35,1.7,32.92,18.5,18.6,84.7
7059304,0.53,139.00,1.7,32.92,18.7,18.8,84.7
7091523,0.53,138.83,1.7,32.92,18.8,18.8,84.7
7123742,0.53,138.65,1.7,32.92,18.8,18.9,84.7
7155961,0.53,138.48,1.7,32.92,18.9,19.0,84.8
7188180,0.53,138.30,1.7,32.92,19.0,19.1,84.8
7220399,0.53,138.12,1.7,32.92,19.1,19.2,84.8
7252618,0.53,137.95,1.7,32.92,19.2,19.3,84.8
7284837,0.53,137.77,1.7,32.92,19.3,19.4,84.8
7317056,0.53,137.60,1.7,32.92,19.4,19.5,84.8
7349275,0.53,137.42,1.7,32.92,19.5,19.5,84.9
7381494,0.53,137.24,1.8,32.92,19.6,19.6,84.9
7413713,0.47,137.07,1.6,37.03,19.6,19.7,85.5
7445932,0.47,136.89,1.6,37.03,19.7,19.8,85.5
7478151,0.47,136.72,1.6,37.03,19.8,19.9,85.5
7510370,0.47,136.54,1.6,37.03,19.9,20.0,85.5
7542589,0.47,136.36,1.6,37.03,20.0,20.1,85.5
7574808,0.47,136.19,1.6,37.03,20.1,20.2,85.5
7607027,0.47,136.01,1.6,37.03,20.2,20.2,85.6
7639246,0.47,135.84,1.6,37.03,20.3,20.3,85.6
7671465,0.47,135.66,1.6,37.03,20.4,20.4,85.6
7703684,0.47,135.48,1.6,37.03,20.4,20.5,85.6
7735903,0.47,135.31,1.6,37.03,20.5,20.6,85.6
7768122,0.47,135.13,1.6,37.03,20.6,20.7,85.6
7800341,0.47,134.96,1.6,37.03,20.7,20.8,85.6
7832560,0.47,134.78,1.6,37.03,20.8,20.9,85.6
7864779,0.47,134.60,1.6,37.03,20.9,21.0,85.7
7896998,0.47,134.43,1.6,37.03,21.0,21.0,85.7
7929217,0.47,134.25,1.6,37.03,21.1,21.1,85.7
7961436,0.47,134.08,1.6,37.03,21.2,21.2,85.7
7993655,0.47,133.90,1.6,37.03,21.3,21.3,85.7
