Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
62916727,0.29,93.08,1.6,59.24,47.4,47.4,88.1
63109614,0.29,94.66,1.6,59.24,46.1,46.1,88.1
63302501,0.35,96.07,1.8,49.37,44.9,45.0,87.7
63495388,0.35,97.65,1.8,49.37,43.7,43.7,87.7
63688275,0.35,99.24,1.7,49.37,42.5,42.5,87.6
63881162,0.35,100.82,1.7,49.37,41.3,41.4,87.6
64074049,0.41,102.40,1.9,42.32,40.2,40.2,87.2
64266936,0.41,103.99,1.9,42.32,39.0,39.1,87.2
64459823,0.41,105.40,1.9,42.32,38.1,38.1,87.2
64652710,0.41,106.98,1.8,42.32,37.0,37.0,87.2
64845597,0.47,108.56,2.0,37.03,35.9,36.0,86.7
65038484,0.47,110.15,2.0,37.03,34.9,34.9,86.7
65231371,0.47,111.73,2.0,37.03,33.9,33.9,86.7
65424258,0.53,113.31,2.2,32.92,32.9,32.9,86.2
65617145,0.53,114.90,2.1,32.92,31.9,31.9,86.2
65810032,0.53,116.66,2.1,32.92,30.8,30.9,86.1
66002919,0.53,118.24,2.1,32.92,29.9,29.9,86.1
66195806,0.59,119.82,2.3,29.63,28.9,29.0,85.5
66388693,0.59,121.41,2.2,29.63,28.0,28.1,85.5
66581580,0.59,122.99,2.2,29.63,27.1,27.2,85.4
66774467,0.59,124.75,2.1,29.63,26.1,26.2,85.3
66967354,0.59,126.33,2.1,29.63,25.3,25.3,85.2
67160241,0.65,127.92,2.3,26.94,24.4,24.5,84.6
67353128,0.65,129.50,2.3,26.94,23.5,23.7,84.5
67546015,0.65,131.26,2.2,26.94,22.6,22.7,84.4
67738902,0.65,132.84,2.2,26.94,21.8,21.9,84.2
67931789,0.65,134.60,2.2,26.94,20.9,21.0,84.0
68124676,0.70,136.19,2.4,24.70,20.1,20.2,83.3
68317563,0.70,137.77,2.3,24.70,19.3,19.4,83.1
68510450,0.70,139.53,2.3,24.70,18.4,18.5,82.9
68703337,0.70,141.11,2.3,24.70,17.6,17.8,82.6
68896224,0.70,142.87,2.3,24.70,16.8,16.9,82.3
69089111,0.76,144.63,2.4,22.80,15.9,16.1,81.4
69281998,0.76,146.22,2.4,22.80,15.2,15.3,81.0
69474885,0.76,147.98,2.4,22.80,14.3,14.5,80.6
69667772,0.76,149.74,2.4,22.80,13.5,13.7,80.1
69860659,0.76,151.50,2.3,22.80,12.7,12.9,79.6
70053546,0.76,153.26,2.3,22.80,11.9,12.1,78.9
70246433,0.76,155.01,2.3,22.80,11.1,11.3,78.2
70439320,0.76,156.77,2.3,22.80,10.3,10.5,77.4
70632207,0.76,158.53,2.3,22.80,9.5,9.7,76.5
70825094,0.76,160.29,2.3,22.80,8.7,9.0,75.4
71017981,0.76,162.05,2.2,22.80,7.9,8.2,74.1
71210868,0.76,163.64,2.2,22.80,7.2,7.5,72.7
71403755,0.76,165.40,2.2,22.80,6.4,6.8,70.8
71596642,0.76,167.16,2.2,22.80,5.6,6.0,68.4
71789529,0.76,168.91,2.2,22.80,4.8,5.3,65.4
71982416,0.76,170.67,2.2,22.80,4.1,4.6,61.5
72175303,0.76,172.26,2.2,22.80,3.4,4.0,56.9
72368190,0.76,174.02,2.2,22.80,2.6,3.4,49.9
72561077,0.76,175.78,2.2,22.80,1.8,2.9,40.0
72753964,0.76,177.54,2.2,22.80,1.1,2.4,26.1
72946851,0.76,179.30,2.2,22.80,0.3,2.2,8.0
73139738,0.76,180.00,2.2,22.80,0.0,2.2,0.0
73332625,0.76,180.00,2.2,22.80,0.0,2.2,0.0
73525512,0.70,180.00,2.0,24.70,0.0,2.0,0.0
73718399,0.70,180.00,2.0,24.70,0.0,2.0,0.0
73911286,0.70,180.00,2.0,24.70,0.0,2.0,0.0
74104173,0.70,179.12,2.0,24.70,0.4,2.1,10.7
74297060,0.70,177.54,2.0,24.70,1.1,2.3,27.9
74489947,0.70,175.78,2.0,24.70,1.8,2.7,42.2
74682834,0.70,174.02,2.0,24.70,2.6,3.3,52.1
74875721,0.70,172.26,2.0,24.70,3.4,3.9,58.9
75068608,0.70,170.50,2.0,24.70,4.1,4.6,63.8
75261495,0.65,168.91,1.9,26.94,4.8,5.2,68.9
75454382,0.65,167.16,1.9,26.94,5.6,5.9,71.5
75647269,0.65,165.40,1.9,26.94,6.4,6.7,73.6
75840156,0.65,163.64,1.9,26.94,7.2,7.4,75.2
76033043,0.65,162.05,1.9,26.94,7.9,8.1,76.4
76225930,0.59,160.29,1.7,29.63,8.7,8.8,78.7
76418817,0.59,158.53,1.7,29.63,9.5,9.6,79.5
76611704,0.59,156.77,1.8,29.63,10.3,10.4,80.3
76804591,0.65,155.19,1.9,26.94,11.0,11.2,80.0
76997478,0.59,153.43,1.8,29.63,11.8,11.9,81.4
77190365,0.53,151.67,1.6,32.92,12.6,12.7,82.7
77383252,0.59,150.09,1.8,29.63,13.3,13.5,82.3
77576139,0.59,148.33,1.8,29.63,14.2,14.3,82.7
77769026,0.53,146.57,1.7,32.92,15.0,15.1,83.7
77961913,0.47,144.99,1.5,37.03,15.8,15.8,84.6
78154800,0.53,143.40,1.7,32.92,16.5,16.6,84.2
78347687,0.47,141.64,1.5,37.03,17.4,17.4,85.0
78540574,0.53,140.06,1.7,32.92,18.2,18.2,84.6
78733461,0.47,138.30,1.5,37.03,19.0,19.1,85.4
78926348,0.47,136.72,1.6,37.03,19.8,19.9,85.5
79119235,0.47,135.13,1.6,37.03,20.6,20.7,85.6
79312122,0.41,133.37,1.4,42.32,21.5,21.6,86.3
79505009,0.41,131.79,1.4,42.32,22.4,22.4,86.4
79697896,0.41,130.21,1.4,42.32,23.2,23.2,86.5
79890783,0.41,128.62,1.5,42.32,24.0,24.1,86.5
80083670,0.35,126.86,1.3,49.37,25.0,25.0,87.1
80276557,0.35,125.28,1.3,49.37,25.9,25.9,87.2
80469444,0.35,123.70,1.3,49.37,26.7,26.8,87.2
80662331,0.29,122.11,1.1,59.24,27.6,27.7,87.7
80855218,0.29,120.53,1.1,59.24,28.6,28.6,87.8
81048105,0.29,118.94,1.1,59.24,29.5,29.5,87.8
81240992,0.18,117.36,0.7,98.73,30.4,30.4,88.7
81433879,0.23,115.78,0.9,74.05,31.4,31.4,88.3
81626766,0.23,114.37,1.0,74.05,32.2,32.2,88.3
81819653,0.18,112.79,0.7,98.73,33.2,33.2,88.7
82012540,0.18,111.20,0.7,98.73,34.2,34.2,88.8
82205427,0.18,109.62,0.8,98.73,35.3,35.3,88.8
82398314,0.12,108.21,0.5,148.10,36.2,36.2,89.2
82591201,0.12,106.63,0.5,148.10,37.2,37.3,89.2
82784088,0.12,105.22,0.5,148.10,38.2,38.2,89.2
82976975,0.12,103.64,0.5,148.10,39.3,39.3,89.2
83169862,0.06,102.05,0.3,296.19,40.5,40.5,89.6
83362749,0.06,100.65,0.3,296.19,41.5,41.5,89.6
83555636,0.06,99.06,0.3,296.19,42.7,42.7,89.6
83748523,-0.00,97.65,0.0,?,43.7,43.7,90.0
83941410,-0.00,96.07,0.0,?,45.0,45.0,90.0
84134297,-0.00,94.66,0.0,?,46.1,46.1,90.0
84327184,-0.06,93.26,0.3,296.19,47.2,47.2,89.6
84520071,-0.06,91.67,0.3,296.19,48.6,48.6,89.6
84712958,-0.06,90.26,0.3,296.19,49.8,49.8,89.6
84905845,-0.12,88.86,0.7,148.10,51.0,51.0,89.2
85098732,-0.12,87.27,0.7,148.10,52.4,52.4,89.2
85291619,-0.12,85.87,0.7,148.10,53.7,53.7,89.2
85484506,-0.12,84.46,0.7,148.10,55.1,55.1,89.2
85677393,-0.18,83.05,1.2,98.73,56.5,56.5,88.8
85870280,-0.18,81.64,1.2,98.73,57.9,57.9,88.8
86063167,-0.18,80.23,1.2,98.73,59.3,59.3,88.8
86256054,-0.18,78.83,1.3,98.73,60.8,60.8,88.8
86448941,-0.23,77.42,1.7,74.05,62.4,62.4,88.4
86641828,-0.23,76.01,1.8,74.05,64.0,64.0,88.4
86834715,-0.23,74.60,1.8,74.05,65.6,65.6,88.4
87027602,-0.29,73.20,2.4,59.24,67.3,67.3,88.0
87220489,-0.29,71.79,2.5,59.24,69.0,69.1,88.0
87413376,-0.29,70.38,2.5,59.24,70.8,70.9,87.9
87606263,-0.29,68.97,2.6,59.24,72.7,72.8,87.9
87799150,-0.29,67.57,2.7,59.24,74.7,74.7,87.9
87992037,-0.35,66.16,3.4,49.37,76.7,76.7,87.5
88184924,-0.35,64.75,3.5,49.37,78.7,78.8,87.4
88377811,-0.35,63.52,3.7,49.37,80.6,80.7,87.4
88570698,-0.41,62.11,4.4,42.32,82.9,83.0,86.9
88763585,-0.47,60.70,5.3,37.03,85.1,85.3,86.5
88956472,-0.41,59.30,4.8,42.32,87.6,87.8,86.9
89149359,-0.47,58.06,5.7,37.03,89.8,90.0,86.4
89342246,-0.47,56.66,6.0,37.03,92.5,92.6,86.3
89535133,-0.53,55.25,7.0,32.92,95.1,95.4,85.8
89728020,-0.53,54.02,7.3,32.92,97.7,97.9,85.7
89920907,-0.53,52.61,7.7,32.92,100.7,101.0,85.6
90113794,-0.53,51.38,8.1,32.92,103.4,103.7,85.5
90306681,-0.59,49.97,9.4,29.63,106.6,107.0,85.0
90499568,-0.59,48.74,9.9,29.63,109.6,110.1,84.9
90692455,-0.59,47.33,10.4,29.63,113.3,113.8,84.7
90885342,-0.59,46.10,10.9,29.63,116.6,117.2,84.6
91078229,-0.59,44.87,11.5,29.63,120.2,120.7,84.5
91271116,-0.65,43.46,13.4,26.94,124.2,124.9,83.8
91464003,-0.65,42.23,14.2,26.94,128.1,128.9,83.7
91656890,-0.65,41.00,15.0,26.94,132.3,133.1,83.5
91849777,-0.65,39.77,15.9,26.94,136.6,137.5,83.4
92042664,-0.65,38.53,16.9,26.94,141.3,142.3,83.2
92235551,-0.70,37.13,19.7,24.70,146.5,147.8,82.3
92428438,-0.70,35.89,21.0,24.70,151.7,153.2,82.1
92621325,-0.70,34.66,22.4,24.70,157.3,158.9,81.9
92814212,-0.70,33.43,24.0,24.70,163.3,165.0,81.6
93007099,-0.70,32.20,25.8,24.70,169.6,171.6,81.3
93199986,-0.70,30.97,27.8,24.70,176.4,178.6,81.0
93392873,-0.70,29.74,30.1,24.70,183.8,186.2,80.7
93585760,-0.70,28.50,32.6,24.70,191.7,194.4,80.4
93778647,-0.70,27.27,35.4,24.70,200.2,203.3,80.0
93971534,-0.70,25.87,39.2,24.70,210.8,214.4,79.5
94164421,-0.70,24.63,43.0,24.70,221.0,225.2,79.0
94357308,-0.70,23.40,47.4,24.70,232.2,236.9,78.5
94550195,-0.70,22.17,52.5,24.70,244.3,249.9,77.9
94743082,-0.70,20.94,58.5,24.70,257.8,264.3,77.2
94935969,-0.70,19.71,65.6,24.70,272.6,280.4,76.5
95128856,-0.76,18.48,79.3,22.80,286.0,296.8,74.5
95321743,-0.76,17.07,91.8,22.80,306.4,319.8,73.3
