Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
17962279,-0.06,145.87,0.2,296.77,15.4,15.4,89.3
18068960,-0.04,146.92,0.1,454.84,14.8,14.8,89.5
18175641,-0.00,148.15,0.0,?,14.3,14.3,90.0
18282322,-0.00,149.21,0.0,?,13.8,13.8,90.0
18389003,-0.00,150.26,0.0,?,13.3,13.3,90.0
18495684,-0.00,151.32,0.0,?,12.8,12.8,90.0
18602365,-0.00,152.38,0.0,?,12.3,12.3,90.0
18709046,-0.00,153.43,0.0,?,11.8,11.8,90.0
18815727,-0.00,154.49,0.0,?,11.3,11.3,90.0
18922408,-0.00,155.72,0.0,?,10.8,10.8,90.0
19029089,-0.00,156.77,0.0,?,10.3,10.3,90.0
19135770,-0.00,157.83,0.0,?,9.8,9.8,90.0
19242451,-0.00,158.89,0.0,?,9.3,9.3,90.0
19349132,-0.00,160.12,0.0,?,8.8,8.8,90.0
19455813,-0.00,161.35,0.0,?,8.2,8.2,90.0
19562494,0.03,162.40,0.1,531.07,7.7,7.7,89.3
19669175,0.06,163.64,0.2,296.77,7.2,7.2,88.6
19775856,-0.00,164.87,0.0,?,6.6,6.6,90.0
19882537,-0.00,166.28,0.0,?,6.0,6.0,90.0
19989218,-0.12,167.86,0.3,148.39,5.3,5.3,86.3
20095899,-0.53,168.56,1.5,32.98,5.0,5.2,73.0
20202580,-0.18,167.33,0.5,98.93,5.5,5.6,84.7
20309261,-0.00,167.86,0.0,?,5.3,5.3,90.0
20415942,-0.00,169.62,0.0,?,4.5,4.5,90.0
20522623,-0.06,171.20,0.2,296.77,3.8,3.8,87.5
20629304,-0.04,172.26,0.1,455.91,3.4,3.4,88.1
20735985,-0.00,173.14,0.0,?,3.0,3.0,90.0
20842666,0.06,174.19,0.2,296.77,2.5,2.5,86.2
20949347,0.06,175.25,0.2,296.77,2.1,2.1,85.3
21056028,0.06,176.48,0.2,296.77,1.5,1.5,83.7
21162709,0.06,177.54,0.2,296.77,1.1,1.1,81.1
21269390,0.06,178.77,0.2,296.77,0.5,0.6,72.6
21376071,0.06,179.82,0.2,296.77,0.1,0.2,24.5
21482752,0.09,180.00,0.3,187.68,0.0,0.3,0.0
21589433,0.06,180.00,0.2,296.77,0.0,0.2,0.0
21696114,-0.00,180.00,0.0,?,0.0,0.0,90.0
21802795,-0.06,180.00,0.2,296.77,0.0,0.2,0.0
21909476,-0.00,180.00,0.0,?,0.0,0.0,90.0
22016157,0.06,180.00,0.2,296.77,0.0,0.2,0.0
22122838,0.06,180.00,0.2,296.77,0.0,0.2,0.0
22229519,0.06,180.00,0.2,286.89,0.0,0.2,0.0
22336200,0.12,180.00,0.3,148.39,0.0,0.3,0.0
22442881,0.12,178.59,0.3,148.39,0.6,0.7,61.2
22549562,0.12,177.54,0.3,148.39,1.1,1.1,72.6
22656243,0.12,176.48,0.3,148.39,1.5,1.6,77.6
22762924,0.12,175.25,0.3,148.39,2.1,2.1,80.8
22869605,0.12,174.19,0.3,148.39,2.5,2.6,82.4
22976286,0.15,173.14,0.4,119.30,3.0,3.0,82.0
23082967,0.18,172.08,0.5,98.93,3.5,3.5,81.6
23189648,0.18,171.20,0.5,98.93,3.8,3.9,82.5
23296329,0.18,170.15,0.5,98.93,4.3,4.3,83.3
23403010,0.18,169.09,0.5,98.93,4.8,4.8,83.9
23509691,0.18,167.86,0.5,98.93,5.3,5.3,84.5
23616372,0.23,166.80,0.7,74.20,5.8,5.8,83.3
23723053,0.23,165.75,0.7,74.20,6.2,6.3,83.8
23829734,0.23,164.52,0.7,74.20,6.8,6.8,84.2
23936415,0.23,163.46,0.7,74.20,7.3,7.3,84.6
24043096,0.18,162.23,0.5,98.93,7.8,7.8,86.2
24149777,0.18,161.17,0.5,98.93,8.3,8.3,86.4
24256458,0.22,160.12,0.7,77.37,8.8,8.8,85.7
24363139,0.23,158.89,0.7,74.20,9.3,9.3,85.7
24469820,0.23,157.65,0.7,74.20,9.9,9.9,85.9
24576501,0.23,156.42,0.7,74.20,10.4,10.5,86.1
24683182,0.18,155.19,0.5,98.93,11.0,11.0,87.2
24789863,0.18,153.96,0.5,98.93,11.6,11.6,87.4
24896544,0.18,152.55,0.5,98.93,12.2,12.2,87.5
25003225,-0.00,150.97,0.0,?,12.9,12.9,90.0
25109906,-0.35,150.26,1.1,49.47,13.3,13.3,85.3
25216587,-0.29,150.62,0.9,59.36,13.1,13.1,86.1
25323268,-0.08,151.32,0.2,216.01,12.8,12.8,88.9
25429949,0.12,150.97,0.4,148.39,12.9,13.0,88.4
25536630,0.18,149.56,0.5,98.93,13.6,13.6,87.7
25643311,0.18,148.15,0.5,98.93,14.3,14.3,87.8
25749992,0.18,146.92,0.5,98.93,14.8,14.9,87.9
25856673,0.23,145.69,0.7,74.20,15.4,15.4,87.3
25963354,0.23,144.46,0.7,74.20,16.0,16.0,87.3
26070035,0.23,143.40,0.7,74.20,16.5,16.5,87.4
26176716,0.23,142.35,0.8,74.20,17.0,17.1,87.5
26283397,0.27,141.29,0.9,64.00,17.6,17.6,87.1
26390078,0.29,140.41,1.0,59.36,18.0,18.0,87.0
26496759,0.29,139.35,1.0,59.36,18.5,18.5,87.0
26603440,0.29,138.30,1.0,59.36,19.0,19.1,87.1
26710121,0.29,137.24,1.0,59.36,19.6,19.6,87.2
26816802,0.32,136.19,1.1,53.65,20.1,20.1,86.9
26923483,0.35,135.13,1.2,49.47,20.6,20.7,86.7
27030164,0.35,134.08,1.2,49.47,21.2,21.2,86.8
27136845,0.35,133.02,1.2,49.47,21.7,21.8,86.8
27243526,0.35,131.96,1.2,49.47,22.3,22.3,86.9
27350207,0.35,130.91,1.2,49.47,22.8,22.9,86.9
27456888,0.36,129.85,1.3,47.82,23.4,23.4,86.9
27563569,0.41,128.62,1.5,42.40,24.0,24.1,86.5
27670250,0.35,127.57,1.3,49.47,24.6,24.6,87.1
27776931,0.35,126.51,1.3,49.47,25.2,25.2,87.1
27883612,0.35,125.45,1.3,49.47,25.8,25.8,87.2
27990293,0.41,124.40,1.5,42.40,26.3,26.4,86.7
28096974,0.41,123.34,1.5,42.40,26.9,27.0,86.8
28203655,0.41,122.29,1.5,42.40,27.5,27.6,86.8
28310336,0.35,121.23,1.3,49.47,28.1,28.2,87.3
28417017,0.36,120.18,1.4,47.74,28.7,28.8,87.2
28523698,0.41,119.12,1.6,42.40,29.4,29.4,86.9
28630379,0.41,118.06,1.6,42.40,30.0,30.0,86.9
28737060,0.35,117.01,1.4,49.47,30.6,30.6,87.4
28843741,0.35,116.13,1.4,49.47,31.1,31.2,87.4
28950422,0.41,115.07,1.7,42.40,31.8,31.8,87.0
29057103,0.41,114.02,1.7,42.40,32.4,32.5,87.0
29163784,0.35,112.96,1.5,49.47,33.1,33.1,87.5
29270465,0.35,111.91,1.5,49.47,33.8,33.8,87.5
29377146,0.36,111.03,1.5,47.65,34.3,34.4,87.4
29483827,0.41,109.97,1.8,42.40,35.0,35.0,87.1
29590508,0.41,108.91,1.8,42.40,35.7,35.7,87.1
29697189,0.35,107.86,1.5,49.47,36.4,36.4,87.6
29803870,0.35,106.80,1.6,49.47,37.1,37.1,87.6
29910551,0.41,105.75,1.9,42.40,37.8,37.9,87.2
30017232,0.35,104.69,1.6,49.47,38.6,38.6,87.6
30123913,0.35,103.64,1.6,49.47,39.3,39.3,87.6
30230594,0.35,102.93,1.7,49.47,39.8,39.8,87.6
30337275,0.35,101.88,1.7,49.47,40.6,40.6,87.6
30443956,0.41,100.82,2.0,42.40,41.3,41.4,87.2
30550637,0.41,99.59,2.0,42.40,42.2,42.3,87.3
30657318,0.41,98.36,2.1,42.40,43.1,43.2,87.3
30763999,0.41,97.13,2.1,42.40,44.1,44.1,87.3
30870680,0.35,95.89,1.8,49.47,45.1,45.1,87.7
30977361,0.40,94.66,2.2,42.93,46.0,46.1,87.3
31084042,0.41,93.43,2.2,42.40,47.0,47.1,87.3
31190723,0.35,92.02,2.0,49.47,48.2,48.3,87.7
31297404,0.35,90.62,2.0,49.47,49.4,49.5,87.7
31404085,0.29,89.03,1.7,59.36,50.8,50.9,88.1
31510766,0.29,87.27,1.8,59.36,52.4,52.4,88.1
31617447,0.29,85.34,1.8,59.36,54.2,54.2,88.1
31724128,0.23,82.87,1.5,74.20,56.6,56.6,88.4
31830809,0.06,79.88,0.4,296.77,59.7,59.7,89.6
31937490,-0.18,75.31,1.4,98.93,64.8,64.8,88.8
32044171,-1.05,67.04,9.9,16.51,74.6,75.2,82.5
32150852,-9.37,46.28,68.5,2.03,38.1,78.4,29.1
32257533,-2.87,57.71,32.3,6.11,81.2,87.3,68.3
32364214,-0.41,120.70,1.6,42.40,28.4,28.5,86.9
32470895,0.23,103.11,1.1,74.20,39.7,39.7,88.4
32577576,0.35,96.95,1.8,49.47,44.2,44.3,87.7
32684257,0.35,92.55,1.9,49.47,47.8,47.8,87.7
32790938,0.35,89.38,2.0,49.47,50.5,50.5,87.7
32897619,0.29,87.10,1.8,59.36,52.6,52.6,88.1
33004300,0.23,85.34,1.5,74.20,54.2,54.2,88.5
33110981,0.23,83.93,1.5,74.20,55.6,55.6,88.4
33217662,0.23,82.70,1.5,74.20,56.8,56.8,88.4
33324343,0.24,81.64,1.6,73.23,57.9,57.9,88.4
