Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
9137856,-16.98,2.64,66.5,1.33,0.9,66.5,0.8
9201433,-16.27,2.46,68.1,1.36,0.9,68.1,0.8
9265010,-15.63,2.29,69.8,1.40,0.9,69.8,0.8
9328587,-15.10,2.11,71.3,1.43,1.0,71.3,0.8
9392164,-14.52,1.94,73.1,1.46,1.0,73.1,0.8
9455741,-14.05,1.76,74.7,1.50,0.9,74.7,0.7
9519318,-13.58,1.58,76.5,1.53,0.9,76.5,0.7
9582895,-13.11,1.41,78.4,1.57,0.9,78.4,0.7
9646472,-12.70,1.41,80.1,1.60,1.0,80.1,0.7
9710049,-12.31,1.41,82.0,1.64,1.0,82.0,0.7
9773626,-12.00,1.41,83.5,1.67,1.1,83.5,0.8
9837203,-11.65,1.23,85.4,1.71,1.0,85.4,0.7
9900780,-11.30,1.23,87.4,1.75,1.1,87.4,0.7
9964357,-11.00,1.41,89.2,1.78,1.3,89.2,0.9
10027934,-10.71,1.41,91.1,1.82,1.4,91.1,0.9
10091511,-10.42,1.58,93.1,1.86,1.7,93.1,1.0
10155088,-10.13,1.76,95.2,1.91,2.0,95.2,1.2
10218665,-9.89,2.11,97.0,1.94,2.5,97.0,1.5
10282242,-9.60,2.46,99.4,1.99,3.2,99.4,1.8
10345819,-9.37,2.99,101.3,2.03,4.1,101.4,2.3
10409396,-9.13,3.52,103.4,2.07,5.1,103.5,2.8
10472973,-8.90,4.22,105.5,2.12,6.4,105.7,3.5
10536550,-8.72,4.93,107.1,2.16,7.8,107.4,4.2
10600127,-8.49,5.63,109.3,2.21,9.4,109.7,4.9
10663704,-8.37,6.51,110.3,2.23,11.2,110.8,5.8
10727281,-8.20,7.39,111.8,2.27,13.2,112.6,6.7
10790858,-8.02,8.09,113.4,2.32,15.1,114.4,7.6
10854435,-7.84,8.97,114.9,2.36,17.4,116.2,8.6
10918012,-7.67,9.85,116.4,2.41,19.9,118.1,9.7
10981589,-7.49,10.73,117.8,2.46,22.5,120.0,10.8
11045166,-7.32,11.61,119.2,2.51,25.4,121.8,12.0
11108743,-7.20,12.49,119.7,2.55,27.9,122.9,13.1
11172320,-7.02,13.37,120.8,2.61,31.1,124.8,14.4
11235897,-6.91,14.25,121.1,2.65,33.8,125.8,15.6
11299474,-6.73,15.13,122.0,2.71,37.3,127.6,17.0
11363051,-6.61,16.01,122.0,2.75,40.2,128.5,18.2
11426628,-6.50,16.89,121.9,2.80,43.2,129.3,19.5
11490205,-6.38,17.77,121.6,2.84,46.3,130.1,20.8
11553782,-6.32,18.48,120.9,2.87,48.3,130.2,21.8
11617359,-6.20,19.35,120.3,2.92,51.3,130.8,23.1
11680936,-6.09,20.23,119.6,2.97,54.5,131.4,24.5
11744513,-5.97,21.11,118.7,3.02,57.6,131.9,25.9
11808090,-5.85,21.99,117.6,3.08,60.7,132.4,27.3
11871667,-5.74,22.70,116.9,3.14,63.6,133.0,28.5
11935244,-5.62,23.58,115.4,3.20,66.6,133.3,30.0
11998821,-5.56,24.46,113.5,3.23,68.6,132.6,31.2
12062398,-5.44,25.34,111.8,3.29,71.5,132.7,32.6
12125975,-5.33,26.04,110.4,3.36,74.3,133.0,33.9
12189552,-5.27,26.92,108.1,3.40,76.0,132.1,35.1
12253129,-5.15,27.80,106.0,3.47,78.7,132.0,36.6
12316706,-5.09,28.68,103.6,3.51,80.1,130.9,37.7
12380283,-4.98,29.38,101.7,3.59,82.5,131.0,39.1
12443860,-4.97,30.26,99.2,3.59,82.8,129.2,39.9
12507437,-4.86,30.97,97.2,3.67,84.9,129.0,41.1
12571014,-4.80,31.85,94.6,3.71,85.9,127.8,42.2
12634591,-4.74,32.73,92.0,3.75,86.8,126.5,43.3
12698168,-4.62,33.43,89.8,3.84,88.7,126.2,44.6
12761745,-4.57,34.31,87.2,3.89,89.4,124.9,45.7
12825322,-4.51,35.19,84.7,3.94,89.9,123.5,46.7
12888899,-4.45,35.89,82.6,3.99,90.5,122.5,47.6
12952476,-4.33,36.60,80.2,4.09,92.0,122.0,48.9
13016053,-4.27,37.48,77.6,4.15,92.2,120.5,49.9
13079630,-4.21,38.36,75.1,4.20,92.4,119.0,50.9
13143207,-4.16,39.06,73.0,4.26,92.6,117.9,51.7
13206784,-4.10,39.94,70.6,4.32,92.6,116.4,52.7
13270361,-4.04,40.65,68.6,4.38,92.7,115.3,53.5
13333938,-3.98,41.35,66.6,4.44,92.7,114.2,54.3
13397515,-3.92,42.23,64.3,4.50,92.5,112.7,55.2
